RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
52	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_209		WYCGTTKKR	408	56.28	3178	49.04	1.15	5.4	5.44e-3	-5.21	1.39e0	0.33	1.07e-2	-4.54
53	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_231		ACAWWWTKN	559	77.10	4448	68.64	1.12	3.2	5.69e-3	-5.17	1.46e0	0.38	1.10e-2	-4.51
54	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_253		TRRTARTDA	669	92.28	5382	83.06	1.11	2.3	5.98e-3	-5.12	1.53e0	0.43	1.13e-2	-4.48
55	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_236		MMAYGATGT	581	80.14	4641	71.62	1.12	3.3	6.28e-3	-5.07	1.61e0	0.47	1.14e-2	-4.47
56	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_255		AWATTATWK	563	77.66	4489	69.27	1.12	1.6	6.28e-3	-5.07	1.61e0	0.47	1.14e-2	-4.47
57	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_66		AAWAWKGHH	575	79.31	4591	70.85	1.12	3.5	6.34e-3	-5.06	1.62e0	0.48	1.14e-2	-4.47
58	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_181		YRAAVKGVW	558	76.97	4449	68.66	1.12	4.6	6.47e-3	-5.04	1.66e0	0.50	1.14e-2	-4.47
59	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_160		WTTRATARW	549	75.72	4376	67.53	1.12	2	6.74e-3	-5.00	1.72e0	0.54	1.17e-2	-4.45
60	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_154		HDAAWATGD	676	93.24	5457	84.21	1.11	1.8	7.24e-3	-4.93	1.85e0	0.62	1.24e-2	-4.39
61	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_72		MMACMATGD	564	77.79	4513	69.65	1.12	4.3	7.73e-3	-4.86	1.98e0	0.68	1.30e-2	-4.34
62	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_249		RNMAWVATG	389	53.66	3043	46.96	1.14	5	7.98e-3	-4.83	2.04e0	0.71	1.32e-2	-4.33
63	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_119		TARTRAWHT	639	88.14	5154	79.54	1.11	2.5	8.29e-3	-4.79	2.12e0	0.75	1.35e-2	-4.31
64	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_254		AVAAHATKG	661	91.17	5343	82.45	1.11	3.3	8.51e-3	-4.77	2.18e0	0.78	1.36e-2	-4.30
65	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_243		TTTAAAWTK	432	59.59	3410	52.62	1.13	4.3	8.85e-3	-4.73	2.27e0	0.82	1.39e-2	-4.27
66	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_222		BNWAWKGTD	572	78.90	4598	70.96	1.11	3.9	9.67e-3	-4.64	2.48e0	0.91	1.50e-2	-4.20
67	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_197		ATGATGDTN	631	87.03	5101	78.72	1.11	3.2	9.94e-3	-4.61	2.54e0	0.93	1.52e-2	-4.19
68	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_46		VHKWHAADR	632	87.17	5113	78.90	1.1	3.6	1.04e-2	-4.57	2.65e0	0.98	1.56e-2	-4.16
69	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_145		HGWATGATG	649	89.52	5261	81.19	1.1	2.3	1.08e-2	-4.53	2.76e0	1.02	1.60e-2	-4.13
70	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_121		HAWHWTGKB	605	83.45	4890	75.46	1.11	2.3	1.12e-2	-4.49	2.87e0	1.05	1.64e-2	-4.11
71	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_2		TKKTKKTGT	171	23.59	1261	19.46	1.22	7.5	1.16e-2	-4.46	2.97e0	1.09	1.67e-2	-4.09
72	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_229		KTARTARNB	607	83.72	4912	75.80	1.1	2.5	1.19e-2	-4.43	3.05e0	1.11	1.69e-2	-4.08
73	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_100		SCTGGMDDN	245	33.79	1870	28.86	1.17	6.5	1.23e-2	-4.40	3.14e0	1.14	1.72e-2	-4.06
74	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_172		RTKTHWYBR	495	68.28	3971	61.28	1.11	5	1.34e-2	-4.31	3.43e0	1.23	1.85e-2	-3.99
75	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_206		ATKWWGGRK	617	85.10	5008	77.28	1.1	3.9	1.35e-2	-4.30	3.46e0	1.24	1.85e-2	-3.99
76	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_201		HAYYAYKYS	565	77.93	4575	70.60	1.1	3.5	1.52e-2	-4.19	3.88e0	1.36	2.04e-2	-3.89
77	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_216		AWSADKWTK	486	67.03	3905	60.26	1.11	4.3	1.53e-2	-4.18	3.92e0	1.37	2.04e-2	-3.89
78	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_99		HAAWDTBTT	521	71.86	4204	64.88	1.11	3.6	1.57e-2	-4.15	4.02e0	1.39	2.06e-2	-3.88
79	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_134		NNTARTARN	620	85.52	5048	77.90	1.1	2.3	1.60e-2	-4.14	4.09e0	1.41	2.07e-2	-3.88
80	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_170		TTKYATKYS	681	93.93	5572	85.99	1.09	1.7	1.65e-2	-4.10	4.22e0	1.44	2.11e-2	-3.86
81	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_161		BSVGWKWTW	550	75.86	4460	68.83	1.1	4.2	1.76e-2	-4.04	4.51e0	1.51	2.23e-2	-3.80
82	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_79		HATRAWGKN	628	86.62	5129	79.15	1.09	3.1	1.84e-2	-4.00	4.71e0	1.55	2.30e-2	-3.77
83	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_143		DYTGCTSHM	214	29.52	1637	25.26	1.17	7.3	1.92e-2	-3.95	4.93e0	1.59	2.38e-2	-3.74
84	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_193		BNAAWRATG	566	78.07	4605	71.06	1.1	3.6	1.95e-2	-3.94	4.99e0	1.61	2.38e-2	-3.74
85	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_164		RTNRHKATG	321	44.28	2532	39.07	1.13	5.7	2.02e-2	-3.90	5.16e0	1.64	2.41e-2	-3.73
86	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_220		BYHAGRMYY	614	84.69	5018	77.44	1.09	4.1	2.02e-2	-3.90	5.18e0	1.64	2.41e-2	-3.73
87	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_81		TTTTTTTTT	17	2.34	83	1.28	1.91	12	2.18e-2	-3.83	5.58e0	1.72	2.56e-2	-3.66
88	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_85		NNTRRTRAW	630	86.90	5166	79.72	1.09	2.2	2.28e-2	-3.78	5.84e0	1.76	2.64e-2	-3.64
89	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_238		NWBTRATDR	573	79.03	4679	72.21	1.09	3.3	2.29e-2	-3.78	5.87e0	1.77	2.64e-2	-3.64
90	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_123		TARTRAWWD	513	70.76	4168	64.32	1.1	3	2.32e-2	-3.76	5.93e0	1.78	2.64e-2	-3.64
91	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_112		MAAWKKKKN	637	87.86	5233	80.76	1.09	2.9	2.46e-2	-3.71	6.29e0	1.84	2.76e-2	-3.59
92	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_87		HDWCGAYWH	423	58.34	3409	52.61	1.11	5.1	2.51e-2	-3.68	6.43e0	1.86	2.77e-2	-3.59
93	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_70		TBDAWTKGR	633	87.31	5201	80.26	1.09	1.6	2.51e-2	-3.68	6.44e0	1.86	2.77e-2	-3.59
94	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_248		WGTRAABYH	687	94.76	5666	87.44	1.08	1.5	2.56e-2	-3.67	6.55e0	1.88	2.79e-2	-3.58
95	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_140		ANDATGDKN	578	79.72	4734	73.06	1.09	3.9	2.62e-2	-3.64	6.71e0	1.90	2.83e-2	-3.57
96	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_232		NHAATGNNT	595	82.07	4881	75.32	1.09	0.96	2.66e-2	-3.63	6.82e0	1.92	2.84e-2	-3.56
97	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_19		HMAHDATGB	580	80.00	4757	73.41	1.09	2.9	2.79e-2	-3.58	7.15e0	1.97	2.95e-2	-3.52
98	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_54		DYKTRRDNH	526	72.55	4296	66.30	1.09	4.8	2.82e-2	-3.57	7.22e0	1.98	2.95e-2	-3.52
99	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_183		AYTRKGYBY	655	90.34	5402	83.36	1.08	3.1	2.85e-2	-3.56	7.29e0	1.99	2.95e-2	-3.52
100	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_169		KWDNAWKGW	697	96.14	5764	88.95	1.08	2.4	2.88e-2	-3.55	7.38e0	2.00	2.95e-2	-3.52
101	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_214		NTWGKAKTK	486	67.03	3960	61.11	1.1	4.4	3.00e-2	-3.50	7.69e0	2.04	3.05e-2	-3.49
102	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_237		TAAAAWKKW	443	61.10	3596	55.49	1.1	3	3.10e-2	-3.47	7.94e0	2.07	3.11e-2	-3.47
103	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_27		RAMAWYWTK	455	62.76	3699	57.08	1.1	3.4	3.13e-2	-3.46	8.01e0	2.08	3.11e-2	-3.47
104	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_30		MRADDATGY	613	84.55	5053	77.98	1.08	2.8	3.20e-2	-3.44	8.19e0	2.10	3.15e-2	-3.46
105	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_42		DTARBTYSN	485	66.90	3968	61.23	1.09	4.9	3.63e-2	-3.32	9.29e0	2.23	3.54e-2	-3.34
106	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_58		TDAWARRGR	620	85.52	5128	79.14	1.08	3.8	3.71e-2	-3.29	9.50e0	2.25	3.59e-2	-3.33
107	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_29		RNRANDATG	653	90.07	5413	83.53	1.08	3.1	3.75e-2	-3.28	9.60e0	2.26	3.59e-2	-3.33
108	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_250		AAATTGRHH	415	57.24	3374	52.07	1.1	3.9	3.79e-2	-3.27	9.70e0	2.27	3.59e-2	-3.33
109	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_41		NDRGGGCTC	197	27.17	1533	23.66	1.15	6.2	3.86e-2	-3.25	9.88e0	2.29	3.60e-2	-3.32
110	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_175		WTARTRAWW	564	77.79	4652	71.79	1.08	0.81	3.91e-2	-3.24	1.00e1	2.30	3.60e-2	-3.32
111	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_68		DNTARTARD	613	84.55	5074	78.30	1.08	0.34	3.94e-2	-3.23	1.01e1	2.31	3.60e-2	-3.32
112	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_0		AARAWKGNN	554	76.41	4567	70.48	1.08	4.2	3.94e-2	-3.23	1.01e1	2.31	3.60e-2	-3.32
113	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_13		DTYCYYTVG	416	57.38	3388	52.28	1.1	5.5	4.04e-2	-3.21	1.04e1	2.34	3.67e-2	-3.31
114	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_60		WTTKTRARW	342	47.17	2759	42.58	1.11	5.3	4.10e-2	-3.20	1.05e1	2.35	3.68e-2	-3.30
115	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_178		NYCMTGNNN	587	80.97	4861	75.02	1.08	4	4.37e-2	-3.13	1.12e1	2.42	3.89e-2	-3.25
116	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_223		RNDATKATG	653	90.07	5434	83.86	1.07	2.6	4.56e-2	-3.09	1.17e1	2.46	4.03e-2	-3.21
117	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_225		WGCARRRAT	493	68.00	4059	62.64	1.09	4.8	4.63e-2	-3.07	1.19e1	2.47	4.05e-2	-3.21
118	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_23		TTRTTTTAT	413	56.97	3379	52.15	1.09	2.3	4.91e-2	-3.01	1.26e1	2.53	4.26e-2	-3.16
119	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_35		TKAWKBSWA	365	50.34	2971	45.85	1.1	5.7	5.03e-2	-2.99	1.29e1	2.55	4.30e-2	-3.15
120	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_241		HAGTRRRNK	605	83.45	5031	77.64	1.08	3.9	5.04e-2	-2.99	1.29e1	2.56	4.30e-2	-3.15
121	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_226		NWVHNATGR	650	89.66	5420	83.64	1.07	3.1	5.08e-2	-2.98	1.30e1	2.56	4.30e-2	-3.15
122	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_91		TTWAAAWTK	416	57.38	3411	52.64	1.09	3.1	5.27e-2	-2.94	1.35e1	2.60	4.43e-2	-3.12
123	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_75		VNRWKATGK	572	78.90	4753	73.35	1.08	3.8	5.36e-2	-2.93	1.37e1	2.62	4.45e-2	-3.11
124	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_198		MHAWRATGB	532	73.38	4409	68.04	1.08	4.1	5.38e-2	-2.92	1.38e1	2.62	4.45e-2	-3.11
125	../save_motif/human_AllChan_1cn3000_Nov3.txt	human_l3_f_10		DKTDTCYYC	586	80.83	4879	75.29	1.07	4.3	5.63e-2	-2.88	1.44e1	2.67	4.61e-2	-3.08

# SEA (Simple Enrichment Analysis): Version 5.4.1 compiled on Nov  5 2021 at 20:34:26
# The format of this file is described at http://meme-suite.org/doc/sea-output-format.html.
# sea --verbosity 1 --qvalue --text -p /home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/toenrich_sequences.fasta -m ../save_motif/human_AllChan_1cn3000_Nov3.txt -n /home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/UTRlib_background.fasta
