RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
11	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_219		TGTWTYAWW	556	76.69	4293	66.25	1.16	3.8	7.75e-4	-7.16	1.98e-1	-1.62	9.05e-3	-4.70
12	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_164		THTTAAAWT	587	80.97	4558	70.34	1.15	1.1	8.73e-4	-7.04	2.24e-1	-1.50	9.05e-3	-4.70
13	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_71		WTTTDSNRN	638	88.00	4989	76.99	1.14	3.4	9.53e-4	-6.96	2.44e-1	-1.41	9.05e-3	-4.70
14	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_69		VANAANNAT	661	91.17	5184	80.00	1.14	3	9.93e-4	-6.92	2.54e-1	-1.37	9.05e-3	-4.70
15	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_166		TDTTKHTWD	653	90.07	5121	79.03	1.14	2.2	1.05e-3	-6.86	2.70e-1	-1.31	9.05e-3	-4.70
16	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_38		TTRDDDWWW	637	87.86	4990	77.01	1.14	2.3	1.10e-3	-6.81	2.82e-1	-1.27	9.05e-3	-4.70
17	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_27		ATRATRRTA	614	84.69	4805	74.15	1.14	2.9	1.23e-3	-6.70	3.15e-1	-1.15	9.53e-3	-4.65
18	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_199		AAAATHATG	675	93.10	5322	82.13	1.13	1.8	1.35e-3	-6.61	3.45e-1	-1.06	9.72e-3	-4.63
19	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_133		TRAAWYDYB	618	85.24	4847	74.80	1.14	3.2	1.40e-3	-6.57	3.59e-1	-1.02	9.72e-3	-4.63
20	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_169		ATWTTTKWN	646	89.10	5090	78.55	1.13	2	1.59e-3	-6.44	4.07e-1	-0.90	1.03e-2	-4.57
21	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_37		TWTWTKKGH	655	90.34	5168	79.75	1.13	2.7	1.65e-3	-6.41	4.22e-1	-0.86	1.03e-2	-4.57
22	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_247		TRTDDWKWT	668	92.14	5287	81.59	1.13	2.1	1.90e-3	-6.27	4.85e-1	-0.72	1.13e-2	-4.48
23	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_103		GWKKTRKMT	456	62.90	3521	54.34	1.16	4.9	2.10e-3	-6.17	5.38e-1	-0.62	1.20e-2	-4.42
24	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_94		TKTATTKYT	646	89.10	5127	79.12	1.13	3.2	2.69e-3	-5.92	6.90e-1	-0.37	1.48e-2	-4.22
25	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_70		NTWTRTGBN	618	85.24	4897	75.57	1.13	3.3	2.92e-3	-5.84	7.47e-1	-0.29	1.51e-2	-4.20
26	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_44		WTKWTKNWK	629	86.76	4991	77.02	1.13	2.9	2.98e-3	-5.82	7.62e-1	-0.27	1.51e-2	-4.20
27	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_125		TTGTTTTRW	532	73.38	4182	64.54	1.14	2.3	3.24e-3	-5.73	8.29e-1	-0.19	1.56e-2	-4.16
28	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_210		WTWTYGTWT	385	53.10	2959	45.66	1.16	3.7	3.37e-3	-5.69	8.64e-1	-0.15	1.56e-2	-4.16
29	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_54		AWTATGDKH	609	84.00	4833	74.58	1.13	2.5	3.44e-3	-5.67	8.80e-1	-0.13	1.56e-2	-4.16
30	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_139		HHAWRKGDN	620	85.52	4931	76.10	1.12	3.6	3.70e-3	-5.60	9.48e-1	-0.05	1.62e-2	-4.12
31	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_176		WDTMAARAK	651	89.79	5198	80.22	1.12	2.8	3.98e-3	-5.53	1.02e0	0.02	1.65e-2	-4.10
32	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_86		MAMBDDRKY	536	73.93	4230	65.28	1.13	4.6	4.02e-3	-5.52	1.03e0	0.03	1.65e-2	-4.10
33	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_241		ANAWRATGK	557	76.83	4414	68.12	1.13	2.8	4.47e-3	-5.41	1.15e0	0.14	1.70e-2	-4.07
34	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_112		YARGTYBNN	275	37.93	2067	31.90	1.19	6.1	4.49e-3	-5.41	1.15e0	0.14	1.70e-2	-4.07
35	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_24		AHNATKDTK	629	86.76	5022	77.50	1.12	2.3	4.54e-3	-5.40	1.16e0	0.15	1.70e-2	-4.07
36	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_252		THRTYTRAD	569	78.48	4520	69.75	1.13	2.8	4.80e-3	-5.34	1.23e0	0.21	1.70e-2	-4.07
37	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_115		HWTVMTRAW	561	77.38	4454	68.73	1.13	3.4	4.89e-3	-5.32	1.25e0	0.23	1.70e-2	-4.07
38	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_183		BWTGGCTTK	543	74.90	4307	66.47	1.13	4.6	5.22e-3	-5.26	1.34e0	0.29	1.70e-2	-4.07
39	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_36		DTARTAAHK	627	86.48	5017	77.42	1.12	1.8	5.31e-3	-5.24	1.36e0	0.31	1.70e-2	-4.07
40	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_120		AAAATWKWK	635	87.59	5085	78.47	1.12	0.46	5.33e-3	-5.23	1.36e0	0.31	1.70e-2	-4.07
41	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_23		TTAATTGKK	634	87.45	5077	78.35	1.12	0.075	5.36e-3	-5.23	1.37e0	0.32	1.70e-2	-4.07
42	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_239		HDAWKVTKN	610	84.14	4875	75.23	1.12	3.6	5.43e-3	-5.22	1.39e0	0.33	1.70e-2	-4.07
43	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_220		RTARTARWG	643	88.69	5158	79.60	1.11	2.4	5.71e-3	-5.17	1.46e0	0.38	1.71e-2	-4.07
44	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_29		MTGYTBTWY	651	89.79	5226	80.65	1.11	1.8	5.72e-3	-5.16	1.47e0	0.38	1.71e-2	-4.07
45	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_100		RKYGTYBYH	465	64.14	3665	56.56	1.13	5.4	6.36e-3	-5.06	1.63e0	0.49	1.82e-2	-4.00
46	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_118		HRATGWTGW	618	85.24	4955	76.47	1.11	3	6.37e-3	-5.06	1.63e0	0.49	1.82e-2	-4.00
47	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_45		TKTDSKMAN	636	87.72	5120	79.01	1.11	3.8	7.46e-3	-4.90	1.91e0	0.65	2.09e-2	-3.87
48	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_31		DCKYWTKTT	615	84.83	4959	76.53	1.11	2.8	9.23e-3	-4.69	2.36e0	0.86	2.44e-2	-3.72
49	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_90		TKRWTWTYW	434	59.86	3430	52.93	1.13	4.4	9.28e-3	-4.68	2.38e0	0.87	2.44e-2	-3.72
50	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_10		BYGCAAMNA	360	49.66	2810	43.36	1.15	5.7	9.29e-3	-4.68	2.38e0	0.87	2.44e-2	-3.72
51	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_79		TYTATGATG	576	79.45	4630	71.45	1.11	3.4	9.44e-3	-4.66	2.42e0	0.88	2.44e-2	-3.72
52	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_68		DTTDDTAAW	506	69.79	4040	62.35	1.12	3.8	9.73e-3	-4.63	2.49e0	0.91	2.45e-2	-3.71
53	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_47		RWVAHDATG	530	73.10	4244	65.49	1.12	4.1	9.88e-3	-4.62	2.53e0	0.93	2.45e-2	-3.71
54	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_114		NAHBRKGTB	450	62.07	3571	55.11	1.13	4.9	1.02e-2	-4.59	2.61e0	0.96	2.48e-2	-3.70
55	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_223		TTTRRAHTW	496	68.41	3964	61.17	1.12	4	1.09e-2	-4.52	2.79e0	1.03	2.56e-2	-3.67
56	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_32		TTTARBGKN	555	76.55	4465	68.90	1.11	4	1.11e-2	-4.50	2.85e0	1.05	2.56e-2	-3.67
57	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_152		TWTWATAAW	626	86.34	5070	78.24	1.1	0.67	1.14e-2	-4.47	2.92e0	1.07	2.56e-2	-3.67
58	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_215		HTBATGYNY	590	81.38	4764	73.52	1.11	3.6	1.14e-2	-4.47	2.92e0	1.07	2.56e-2	-3.67
59	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_148		ADTTTVWYN	539	74.34	4333	66.87	1.11	4.1	1.17e-2	-4.45	2.98e0	1.09	2.56e-2	-3.67
60	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_21		DYTBTGARD	572	78.90	4614	71.20	1.11	3.9	1.18e-2	-4.44	3.02e0	1.11	2.56e-2	-3.67
61	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_251		NWTDATGNT	685	94.48	5576	86.05	1.1	2.2	1.19e-2	-4.43	3.04e0	1.11	2.56e-2	-3.67
62	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_117		NNAAWHATG	543	74.90	4371	67.45	1.11	3.6	1.23e-2	-4.40	3.14e0	1.15	2.58e-2	-3.66
63	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_204		MGYMMTDAT	646	89.10	5248	80.99	1.1	3.2	1.25e-2	-4.38	3.19e0	1.16	2.58e-2	-3.66
64	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_153		RMVADDDGS	634	87.45	5147	79.43	1.1	3.7	1.27e-2	-4.37	3.24e0	1.18	2.58e-2	-3.66
65	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_159		VNNWWNTAA	581	80.14	4698	72.50	1.11	3.7	1.30e-2	-4.35	3.32e0	1.20	2.58e-2	-3.66
66	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_26		BTRASYDGB	621	85.66	5039	77.76	1.1	4.3	1.31e-2	-4.34	3.34e0	1.21	2.58e-2	-3.66
67	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_192		TTTTTTTTK	34	4.69	194	2.99	1.6	11	1.33e-2	-4.32	3.41e0	1.23	2.58e-2	-3.66
68	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_5		VNNTDRTAA	623	85.93	5058	78.06	1.1	2.8	1.34e-2	-4.32	3.42e0	1.23	2.58e-2	-3.66
69	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_95		AAVAWKGNN	525	72.41	4237	65.39	1.11	4.5	1.55e-2	-4.16	3.98e0	1.38	2.96e-2	-3.52
70	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_244		MWATGATGN	568	78.34	4605	71.06	1.1	3.3	1.60e-2	-4.14	4.09e0	1.41	2.98e-2	-3.51
71	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_245		AWRATRGTH	660	91.03	5392	83.21	1.09	2.2	1.64e-2	-4.11	4.20e0	1.44	2.98e-2	-3.51
72	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_92		MBAWKGCNB	506	69.79	4082	62.99	1.11	4.3	1.68e-2	-4.09	4.30e0	1.46	2.98e-2	-3.51
73	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_130		WHATTWTGT	468	64.55	3760	58.02	1.11	2.7	1.69e-2	-4.08	4.32e0	1.46	2.98e-2	-3.51
74	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_124		VYBTRRNMY	593	81.79	4823	74.43	1.1	4.4	1.70e-2	-4.08	4.34e0	1.47	2.98e-2	-3.51
75	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_140		VMABDATGN	606	83.59	4934	76.14	1.1	3.7	1.70e-2	-4.08	4.35e0	1.47	2.98e-2	-3.51
76	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_222		NNTWRTRAW	627	86.48	5141	79.34	1.09	1.9	2.30e-2	-3.77	5.88e0	1.77	3.98e-2	-3.22
77	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_63		VTBTRRVMB	536	73.93	4366	67.38	1.1	4.9	2.37e-2	-3.74	6.06e0	1.80	4.05e-2	-3.21
78	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_173		TTTTTTTGW	32	4.41	190	2.93	1.54	11	2.47e-2	-3.70	6.33e0	1.85	4.17e-2	-3.18
79	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_98		RRHWKGDKK	644	88.83	5298	81.76	1.09	3.6	2.59e-2	-3.66	6.62e0	1.89	4.27e-2	-3.15
80	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_22		NNAAWRATG	565	77.93	4622	71.33	1.09	3.6	2.60e-2	-3.65	6.65e0	1.90	4.27e-2	-3.15
81	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_16		AADDTSKYT	535	73.79	4370	67.44	1.09	4.3	2.73e-2	-3.60	6.99e0	1.94	4.43e-2	-3.12
82	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_170		AACATBVKH	501	69.10	4083	63.01	1.1	4.6	2.84e-2	-3.56	7.26e0	1.98	4.55e-2	-3.09
83	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_193		BNRATRWGD	581	80.14	4770	73.61	1.09	3.8	2.93e-2	-3.53	7.50e0	2.01	4.64e-2	-3.07
84	/ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt	human_l3_f_84		YGDTGATDR	647	89.24	5344	82.47	1.08	2.5	3.17e-2	-3.45	8.11e0	2.09	4.96e-2	-3.00

# SEA (Simple Enrichment Analysis): Version 5.4.1 compiled on Nov  5 2021 at 20:34:26
# The format of this file is described at http://meme-suite.org/doc/sea-output-format.html.
# sea --verbosity 1 --qvalue --text -p /ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/toenrich_sequences.fasta -m /ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/MThuman_n4000_Nov7_cv7.txt -n /ssd/users/wergillius/Project/UTR_VAE/ipynb/network_interpretation/UTRlib_background.fasta
